name,url,city,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,StreetAddress,AddressLocality,AddressRegion,openingHoursSpecification,addressString,geoString,ratingString
Despierta con McDonald's (Santa Fe Zentrika),https://www.ubereats.com/mx-en/store/despierta-con-mcdonalds-santa-fe-zentrika/ake4uoqeRZWdxjCMk6m1Eg,Mexico City,"['American', 'Breakfast and Brunch', 'Burgers', 'Kids Friendly', 'Desserts']",4.9,63,$,19.359417362510133,-99.27507273219963,+525581901614,1219,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:0', 'closes': '11:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Mexico City', 'addressRegion': 'mexico City', 'postalCode': '1219', 'addressCountry': 'MX', 'streetAddress': 'Lateral Autopista México-Marquesa 1235'}","{'@type': 'GeoCoordinates', 'latitude': 19.359417362510133, 'longitude': -99.27507273219963}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '63'}"
Sushi Itto (Anzures),https://www.ubereats.com/mx-en/store/sushi-itto-anzures/ZaZwC9PTTz63cWOmffaHBQ,Mexico City,"['Sushi', 'Family Friendly', 'Chinese', 'Asian Fusion']",4.8,48,$$$,19.43563,-99.18146,+525572583463,11590,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '20:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '12:0', 'closes': '21:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '12:0', 'closes': '22:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Mexico City', 'addressRegion': 'CDMX', 'postalCode': '11590', 'addressCountry': 'MX', 'streetAddress': 'Avenida Thiers no. 232'}","{'@type': 'GeoCoordinates', 'latitude': 19.43563, 'longitude': -99.18146}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '48'}"
Los Canarios Antara,https://www.ubereats.com/mx-en/store/los-canarios-antara/QKBmMhgiQNmhXLA8yDJnOA,Ciudad de México,"['Family Friendly', 'Salads', 'Comfort Food']",4.7,55,$$,19.4391231,-99.2033133,+525552802700,11520,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '12:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '9:0', 'closes': '12:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Ciudad de México', 'addressRegion': 'CDMX', 'postalCode': '11520', 'addressCountry': 'MX', 'streetAddress': 'Avenida Ejército Nacional 843, Miguel Hidalgo, Granada'}","{'@type': 'GeoCoordinates', 'latitude': 19.4391231, 'longitude': -99.2033133}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '55'}"
De Raiz - Santa Fe,https://www.ubereats.com/mx-en/store/de-raiz-santa-fe/bGaIA86ARAOPwq-p_U0KGQ,Mexico City,"['Healthy', 'Salads', 'Comfort Food']",4.3,18,$,19.36112,-99.273476,+15521678244,05348,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '22:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '13:0', 'closes': '22:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '13:0', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '13:0', 'closes': '22:45'}]","{'@type': 'PostalAddress', 'addressLocality': 'Mexico City', 'addressRegion': 'Mexico City', 'postalCode': '05348', 'addressCountry': 'MX', 'streetAddress': 'Av. Vasco de Quiroga No. 3800 local 1615, Col. Santa Fe'}","{'@type': 'GeoCoordinates', 'latitude': 19.36112, 'longitude': -99.273476}","{'@type': 'AggregateRating', 'ratingValue': 4.3, 'reviewCount': '18'}"
Barbacoa el compadre,https://www.ubereats.com/mx-en/store/barbacoa-el-compadre/Cdd5c5x-Tc6PX9Pw-HpnJg,Tlalpan,"['BBQ', 'American', 'Burgers', 'Allergy Friendly', 'Affordable Meals']",3.8,17,,19.292052625661267,-99.12678240940129,+525540893853,14390,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '8:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '7:0', 'closes': '18:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Tlalpan', 'addressRegion': 'Mexico City', 'postalCode': '14390', 'addressCountry': 'MX', 'streetAddress': 'Calzada Acoxpa & Avenida Canal de Miramontes'}","{'@type': 'GeoCoordinates', 'latitude': 19.292052625661267, 'longitude': -99.12678240940129}","{'@type': 'AggregateRating', 'ratingValue': 3.8, 'reviewCount': '17'}"
Barrio wings,https://www.ubereats.com/mx-en/store/barrio-wings/NR6wMen1Ta2movE__vklpQ,Mexico City,"['Wings', 'American', 'Fast Food']",,,,19.36886740917897,-99.04915199544575,+525551839287,09209,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '18:0', 'closes': '23:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '18:0', 'closes': '23:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Mexico City', 'addressRegion': 'Mexico City', 'postalCode': '09209', 'addressCountry': 'MX', 'streetAddress': 'Avenida 3 Poniente 3'}","{'@type': 'GeoCoordinates', 'latitude': 19.36886740917897, 'longitude': -99.04915199544575}",{}
Mr. Sushi (Santa Fe),https://www.ubereats.com/mx-en/store/mr-sushi-santa-fe/kb8Wd-IZQT-qO2MqbfH5ow,Mexico City,['Sushi'],4.5,129,$,19.361942,-99.2734825,+525521678563,05348,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '12:0', 'closes': '21:1'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '12:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'Mexico City', 'addressRegion': 'Ciudad de Mexico', 'postalCode': '05348', 'addressCountry': 'MX', 'streetAddress': 'Centro Comercial ""Santa Fe""                              Av. Vasco de Quiroga No. 3800 Local 715 Col. Antigua Mina La Totolapa, Deleg. Cuajimalpa'}","{'@type': 'GeoCoordinates', 'latitude': 19.361942, 'longitude': -99.2734825}","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '129'}"
El Asadito,https://www.ubereats.com/mx-en/store/el-asadito/KRnNV3TxVguHimYpWvdQrw,Álvaro Obregón,"['Steak', 'American', 'Fast Food']",4.7,39,,19.38041709596411,-99.24269984680014,+525592351834,01230,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '13:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '13:0', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Álvaro Obregón', 'addressRegion': 'LATAM', 'postalCode': '01230', 'addressCountry': 'MX', 'streetAddress': 'Avenida Vasco de Quiroga 1650'}","{'@type': 'GeoCoordinates', 'latitude': 19.38041709596411, 'longitude': -99.24269984680014}","{'@type': 'AggregateRating', 'ratingValue': 4.7, 'reviewCount': '39'}"
Brew Brew Cafe,https://www.ubereats.com/mx-en/store/brew-brew-cafe/lPuNchpAXEm-dCTuaZ2Usg,CUAUHTEMOC,"['American', 'Breakfast and Brunch', 'Desserts']",,,,19.41891,-99.15982,+525555000055,06700,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '14:30', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday'], 'opens': '8:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday'], 'opens': '8:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '14:30', 'closes': '23:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'CUAUHTEMOC', 'addressRegion': 'LATAM', 'postalCode': '06700', 'addressCountry': 'MX', 'streetAddress': 'ORIZABA 96'}","{'@type': 'GeoCoordinates', 'latitude': 19.41891, 'longitude': -99.15982}",{}
Tepoznieves Taxqueña,https://www.ubereats.com/mx-en/store/tepoznieves-taxquena/w91ojsGRRnm0GIJkCusSmw,Ciudad de México,"['Comfort Food', 'Desserts', 'Ice Cream & Frozen Yogurt', 'Ice Cream and Frozen Yogurt']",4.9,16,$$,19.3405377,-99.1353503,+525543236377,04200,,,,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'Ciudad de México', 'addressRegion': 'CDMX', 'postalCode': '04200', 'addressCountry': 'MX', 'streetAddress': 'Calz Taxqueña 1465'}","{'@type': 'GeoCoordinates', 'latitude': 19.3405377, 'longitude': -99.1353503}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '16'}"
